                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.225,                 1.6097,                 1.2739,                0.66558,                0.52676,                0.61918,                0.46004,                 1.0857,                 1.1153,                 1.1275,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2184,                 1.4981,                 1.2633,                0.67593,                0.53775,                0.63129,                0.46911,                 1.0823,                 1.0888,                 1.1241,             1.7497e-05,             1.7497e-05,             1.7497e-05
                      3,                 1.1992,                 1.4104,                 1.2159,                0.68692,                0.54185,                0.64209,                0.47508,                 1.0741,                 1.0672,                 1.1194,             2.6286e-05,             2.6286e-05,             2.6286e-05
                      4,                 1.2224,                 1.4607,                 1.2441,                0.68406,                0.58057,                0.66355,                 0.4944,                  1.064,                 1.0432,                 1.1115,             3.4699e-05,             3.4699e-05,             3.4699e-05
                      5,                 1.1393,                 1.2764,                  1.211,                 0.6865,                0.60105,                0.67233,                0.50251,                 1.0529,                 1.0258,                 1.1049,             4.2734e-05,             4.2734e-05,             4.2734e-05
                      6,                 1.1078,                 1.3087,                 1.1904,                0.70064,                 0.6245,                0.68911,                0.51707,                 1.0409,                0.99441,                 1.0962,             5.0393e-05,             5.0393e-05,             5.0393e-05
                      7,                 1.1135,                  1.173,                  1.191,                0.72092,                0.63851,                0.69701,                0.52128,                 1.0351,                0.97278,                 1.0916,             5.7675e-05,             5.7675e-05,             5.7675e-05
                      8,                 1.1264,                 1.1768,                 1.1988,                0.72704,                0.64411,                0.70468,                0.52795,                 1.0247,                0.94166,                 1.0869,             6.4579e-05,             6.4579e-05,             6.4579e-05
                      9,                  1.055,                 1.1095,                 1.1498,                 0.7125,                0.66394,                0.70896,                0.53565,                  1.014,                0.91367,                 1.0824,             7.1107e-05,             7.1107e-05,             7.1107e-05
                     10,                 1.0797,                 1.1632,                  1.189,                 0.7273,                0.66673,                0.71642,                0.54318,                 1.0123,                0.90154,                 1.0829,             7.7257e-05,             7.7257e-05,             7.7257e-05
                     11,                 1.0505,                 1.0849,                 1.1503,                0.75081,                0.66997,                0.73603,                0.55597,                  1.006,                0.88353,                 1.0791,             8.3031e-05,             8.3031e-05,             8.3031e-05
                     12,                 1.0965,                 1.1279,                 1.1918,                0.75307,                0.67243,                0.73896,                0.55636,                 1.0035,                0.86929,                 1.0756,             8.8428e-05,             8.8428e-05,             8.8428e-05
                     13,                 1.0529,                 1.0641,                 1.1547,                0.79677,                0.67076,                0.75104,                 0.5691,                0.99472,                0.84966,                  1.069,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     14,                 1.0285,                 1.0644,                 1.1637,                0.81453,                0.66891,                0.76155,                0.57684,                0.98674,                0.82927,                 1.0633,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     15,                0.99213,                 1.0049,                 1.1371,                0.83172,                0.66829,                0.77013,                0.58354,                0.97663,                0.81257,                  1.058,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     16,                 1.0283,                 1.0104,                 1.1391,                0.83543,                  0.665,                0.77201,                0.59075,                0.97227,                0.80199,                 1.0545,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     17,                 1.0555,                 1.0478,                 1.1502,                0.82298,                0.67407,                0.77496,                0.59198,                0.96463,                0.78835,                 1.0494,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     18,                 1.0844,                0.99697,                 1.1362,                0.84523,                0.67747,                0.78594,                0.59842,                 0.9567,                0.78017,                 1.0435,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     19,                0.97901,                0.94449,                 1.1238,                0.79231,                0.71457,                0.79883,                0.60768,                0.94698,                0.77722,                 1.0379,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     20,                 1.0181,                0.99894,                  1.142,                0.81607,                0.71851,                0.80669,                0.61869,                0.93431,                0.76649,                 1.0309,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     21,                 1.0295,                0.94153,                 1.1298,                 0.8567,                0.70208,                0.80184,                0.61996,                0.92576,                0.75008,                  1.027,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     22,                  1.014,                0.91819,                  1.111,                0.86128,                0.70681,                 0.8131,                0.63206,                 0.9186,                0.73446,                 1.0235,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     23,                0.99697,                0.94419,                 1.1423,                0.74494,                0.79223,                0.81641,                0.63691,                0.91442,                0.72217,                 1.0219,              6.952e-05,              6.952e-05,              6.952e-05
                     24,                 0.9878,                0.94792,                 1.1111,                0.76962,                0.76555,                0.82304,                0.63992,                 0.9049,                0.71223,                 1.0169,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     25,                0.98924,                0.90081,                 1.1176,                0.78168,                0.76552,                0.83156,                0.64196,                0.89734,                0.70382,                 1.0125,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     26,                 1.0135,                0.93357,                 1.1147,                0.80507,                0.76186,                0.83456,                0.64688,                0.89101,                 0.6975,                 1.0094,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     27,                0.97968,                0.91507,                 1.1191,                0.78416,                0.77746,                0.83631,                0.64617,                0.88734,                0.69396,                 1.0066,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     28,                 0.9886,                0.89367,                 1.1187,                 0.8403,                0.73465,                0.83614,                0.65073,                0.88355,                 0.6878,                  1.004,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     29,                  1.076,                 0.9469,                 1.1264,                0.75967,                 0.7986,                0.84294,                0.65329,                0.87408,                0.68052,                      1,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     30,                0.95555,                0.85676,                 1.0998,                0.85861,                0.73429,                0.83759,                0.65227,                0.86744,                0.67634,                0.99646,             5.3026e-05,             5.3026e-05,             5.3026e-05
